projectName,original_numberOfNodes,original_numberOfEdges,original_numberOfPackages,original_avgClassesPerPackage,original_singlePackageCommitRatio,original_avgPackageCommit,mq_distance_mean,mq_normalized_distance_mean,mq_numberOfEdges_mean,mq_numberOfPackages_mean,mq_avgClassesPerPackage_mean,mq_singlePackageCommitRatio_mean,mq_avgPackageCommit_mean,mq_iterations,hmd_distance,hmd_normalized_distance,hmd_numberOfEdges,hmd_numberOfPackages,hmd_avgClassesPerPackage,hmd_singlePackageCommitRatio,hmd_avgPackageCommit,crg_distance_25,crg_distance_50,crg_distance_75,crg_normalized_distance_25,crg_normalized_distance_50,crg_normalized_distance_75,crg_numberOfEdges_25,crg_numberOfEdges_50,crg_numberOfEdges_75,crg_numberOfPackages_25,crg_numberOfPackages_50,crg_numberOfPackages_75,crg_avgClassesPerPackage_25,crg_avgClassesPerPackage_50,crg_avgClassesPerPackage_75,crg_singlePackageCommitRatio_25,crg_singlePackageCommitRatio_50,crg_singlePackageCommitRatio_75,crg_avgPackageCommit_25,crg_avgPackageCommit_50,crg_avgPackageCommit_75
javacc-7.0.14,197,840,7,27.8571,0.844444,1.22963,276.8,0.5863331943601959,583.9,82.93333333333334,2.324463333333333,0.6006585,3.4000822333333334,30,210,0.5147058823529411,670,19,10.8947,0.748148,1.612346,201,199,208,0.5101522842639594,0.5050761421319797,0.5187032418952618,5505,6228,3027,5,5,12,38.8,38.6,16.75,0.681481,0.893827,0.730864,1.382716,1.135802,1.550617
joda-time-2.14.0,257,830,9,28.4444,0.772912,1.40224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elasticsearch-geo-9.1.0,63,139,5,12.4,0.727273,1.295455,87.03333333333333,0.5817626068899612,152.93333333333334,26.566666666666666,2.2143033333333335,0.6606061333333333,3.035606066666667,30,73,0.5367647058823529,156,13,5.3846,0.681818,1.977273,70,69,62,0.5384615384615384,0.5348837209302325,0.484375,580,477,461,7,6,5,9,10.3333,12.2,0.954545,0.818182,0.840909,1.045455,1.227273,1.204545
jmetal-auto-6.2.2,80,35,11,7.1818,0.595541,1.627389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
log4j-iostreams-2.21.1,32,20,6,5.1667,0.941176,1.058824,44.733333333333334,0.5997815547689376,33.8,14.566666666666666,1.8009133333333334,0.4732024,4.2287582,30,44,0.6027397260273972,34,13,2.8462,0.470588,4.176471,38,34,36,0.5671641791044776,0.53125,0.5625,103,116,93,7,4,4,4.5714,7,7,0.54902,0.607843,0.509804,1.705882,1.588235,1.803922
lucene-analysis-kuromoji-11.0.0,76,85,8,9.375,0.889251,1.149837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lucene-highlighter-11.0.0,174,414,8,21.625,0.873563,1.155172,261.3666666666667,0.6064364859793859,301.2,88.96666666666667,1.8706333333333334,0.6571520333333333,2.3566411333333335,30,211,0.5567282321899736,324,37,5.4324,0.710728,1.802682,175,181,183,0.5072463768115942,0.5186246418338109,0.5184135977337111,4141,3888,2718,3,7,11,55.6667,24.4286,16,0.733716,0.91954,0.860153,1.298851,1.109195,1.204981
log4j-layout-template-json-2.21.1,159,433,9,17.5556,0.648148,1.5,227.2,0.5920526486670906,374.6,72.5,2.09668,0.4839502,5.171604866666667,30,200,0.5681818181818182,385,41,4.6098,0.5,3.962963,167,167,175,0.5235109717868338,0.5186335403726708,0.5335365853658537,2846,2056,1716,8,11,17,19.5,14.4545,9.7647,0.592593,0.62963,0.592593,1.62963,1.777778,2.111111
gson-2.10.1,223,329,11,20.1818,0.751055,1.344585,316.23333333333335,0.5918161145810904,567.8666666666667,97.26666666666667,2.2038699999999998,0.6244727666666666,1.9529771,30,259,0.5452631578947369,534,38,6.5263,0.663854,1.732771,NA,229,237,NA,0.5146067415730337,0.5254988913525499,NA,4920,3230,NA,8,14,NA,27.25,16,NA,0.727145,0.729958,NA,1.331927,1.421941
lucene-analysis-nori-11.0.0,54,92,7,7.5714,0.905138,1.13834,76.53333333333333,0.5975453684888665,95.56666666666666,25.033333333333335,1.8945333333333334,0.7483532666666667,1.9073780333333334,30,69,0.575,110,17,3.6471,0.754941,1.679842,59,62,58,0.5315315315315315,0.5486725663716814,0.5225225225225225,315,279,186,8,10,8,6.625,5.6,6.75,0.798419,0.814229,0.774704,1.399209,1.367589,1.490119
jmetal-component-6.2.2,186,147,54,3.4259,0.651822,2.200405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jgit-ssh-6.8.0,111,164,13,8.4615,0.494253,1.678161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elasticsearch-native-9.1.0,72,115,6,11.8333,0.5,1.925,102.13333333333334,0.5910607355620603,150.36666666666667,32.733333333333334,2.0387933333333335,0.4658333333333333,4.845833333333333,30,85,0.5483870967741935,148,15,5.2667,0.525,2.8,73,78,82,0.503448275862069,0.5306122448979592,0.5466666666666666,698,552,293,5,7,10,13.8,10.2857,7.4,0.7,0.5,0.5,1.725,1.925,2.375
dubbo-cluster-3.2.8,245,240,50,4.88,0.755915,1.672478,334.3333333333333,0.6100992216475236,348.9,105.96666666666667,1.8432233333333332,0.6847655666666667,2.3813201333333334,30,290,0.5894308943089431,354,50,4.86,0.731009,1.734745,418,418,254,0.6562009419152276,0.6562009419152276,0.5594713656387665,0,0,2648,195,195,12,1,1,17.0833,0.673724,0.673724,0.762142,2.738481,2.738481,1.321295
log4j-api-2.21.1,191,332,10,19,0.845297,1.26052,283,0.6028295527213521,444.4,95.43333333333334,1.9000433333333333,0.7549505666666667,1.8021246,30,238,0.5613207547169812,412,50,4.58,0.803837,1.552599,195,195,203,0.5131578947368421,0.5104712041884817,0.524547803617571,5173,5125,2544,6,8,13,31,23.375,14.7692,0.826114,0.881807,0.850248,1.199257,1.151609,1.200495
jgit-http-6.8.0,68,118,7,9.5714,0.834646,1.228346,99,0.6028256254861682,103.1,33.2,1.84547,0.5779525999999999,2.8167981,30,92,0.5859872611464968,96,26,3.2692,0.590551,2.574803,77,80,81,0.5460992907801419,0.5517241379310345,0.5510204081632653,544,374,233,10,14,16,6.9,5.2857,4.6875,0.76378,0.692913,0.677165,1.425197,1.811024,1.834646
moquette-broker-0.19,217,446,13,16.6154,0.698276,1.519397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
javaGeom-0.11.3,181,421,22,8.1818,0.394958,3.256303,246.03333333333333,0.594683895367506,736.5,71.7,2.22414,0.23081216666666665,7.447619066666666,30,206,0.5567567567567567,741,28,6.6071,0.361345,3.277311,181,180,183,0.523121387283237,0.5172413793103449,0.5198863636363636,4250,4132,2038,4,6,10,40.25,27.1667,16.8,0.310924,0.483193,0.336134,1.941176,1.894958,2.02521
elasticsearch-core-9.1.0,69,53,6,11.3333,0.979439,1.02243,104.46666666666667,0.6102252134594478,49.46666666666667,37.166666666666664,1.70455,0.8388784666666667,1.4832399666666667,30,89,0.5668789808917197,51,23,3.6957,0.869159,1.274766,71,79,83,0.5107913669064749,0.5448275862068965,0.5496688741721855,704,447,279,5,11,17,13.4,6.5455,4.6471,0.895327,0.884112,0.878505,1.13271,1.228037,1.248598
jgit-lfs-6.8.0,48,64,7,6.7143,0.79085,1.294118,67.2,0.5975892622781374,73.03333333333333,21.433333333333334,1.92654,0.7115465333333333,1.7559913,30,51,0.5204081632653061,80,7,6.5714,0.784314,1.379085,46,52,55,0.4842105263157895,0.5360824742268041,0.5445544554455446,275,208,209,4,6,10,11,7.6667,5,0.771242,0.816993,0.72549,1.366013,1.24183,1.431373
jmetal-lab-6.2.2,71,29,17,4.1176,0.691525,1.667797,94.4,0.6170138513802711,107.9,25.966666666666665,2.1077600000000003,0.4934462333333333,2.817175166666667,30,83,0.5763888888888888,156,17,4.0588,0.627119,1.650847,78,75,74,0.5777777777777777,0.5681818181818182,0.5481481481481482,439,440,306,8,5,8,7.5,11.6,7.625,0.823729,0.786441,0.762712,1.220339,1.254237,1.349153
lucene-luke-11.0.0,307,506,30,10.2,0.779851,1.69403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lucene-codecs-11.0.0,219,508,12,18.1667,0.712963,1.535185,317.7,0.5925186039205785,391.3333333333333,108.16666666666667,1.9168800000000001,0.5241357333333333,2.998024733333333,30,271,0.5599173553719008,441,56,4.6607,0.535185,2.662963,222,225,233,0.5138888888888888,0.5125284738041003,0.5235955056179775,6383,5045,3054,4,11,17,52.5,19.7273,13.1176,0.598148,0.618519,0.653704,1.446296,1.512963,1.611111
junit-platform-launcher-1.10.1,124,186,9,13.6667,0.75,1.36,181.06666666666666,0.6010271102105256,229.33333333333334,60.2,1.92313,0.6040833333333333,2.656416666666667,30,155,0.5656934306569343,216,33,4.4242,0.635,2.0975,129,132,133,0.516,0.5217391304347826,0.5236220472440944,1608,1648,960,9,12,13,13.6667,10.5,9.7692,0.7425,0.855,0.7025,1.345,1.22,1.4825
log4j-jpa-2.21.1,32,18,9,3.4444,0.75,1.25,42.96666666666667,0.6121685936917058,20.9,13.166666666666666,1.7717433333333334,0.5821429666666667,2.0888889,30,40,0.6060606060606061,23,9,3.4444,0.595238,1.630952,35,35,35,0.5384615384615384,0.546875,0.5384615384615384,71,58,44,8,7,8,3.75,4.1429,3.75,0.75,0.642857,0.714286,1.5,1.583333,1.547619
joda-money-2.0.3,32,76,4,7.75,0.869281,1.130719,43.6,0.5778708108772038,58.766666666666666,13.4,2.1311933333333335,0.5832241666666667,2.1431372,30,38,0.5588235294117647,58,6,5.3333,0.705882,1.575163,34,34,36,0.5074626865671642,0.5074626865671642,0.5294117647058824,108,100,83,5,5,6,6.4,6.2,5.5,0.718954,0.751634,0.764706,1.45098,1.437908,1.411765
