ProjectName;StdDev;ClassCount;ClustersCount;Fitness;ExecutionTime;Memory;ExecutionAborted
_b01-elasticsearch-core-9.1.0 63C.odem;25;63;6;18147.0859;34972 ms;464MB;false
_b01-elasticsearch-core-9.1.0 63C.odem;50;63;12;12257.0549;20252 ms;470MB;false
_b01-elasticsearch-core-9.1.0 63C.odem;75;63;18;6032.0231;11014 ms;555MB;false
_b01-aep-core-0.10.0 162C.odem;25;162;5;147170.4918;7260308 ms;806MB;false
_b01-aep-core-0.10.0 162C.odem;50;162;9;96977.1905;5294057 ms;304MB;false
_b01-aep-core-0.10.0 162C.odem;75;162;12;51042.8881;2135873 ms;395MB;false
_b01-javaGeom-0.11.3 159C.odem;25;159;5;158787.2415;8242144 ms;2213MB;false
_b01-javaGeom-0.11.3 159C.odem;50;159;7;110119.4336;5318743 ms;899MB;false
_b01-javaGeom-0.11.3 159C.odem;75;159;11;64477.9523;3047678 ms;738MB;false
_b01-javacc-7.0.14 190C.odem;25;190;6;215379.6218;18555513 ms;740MB;false
_b01-javacc-7.0.14 190C.odem;50;190;6;153353.6865;13341452 ms;439MB;false
_b01-javacc-7.0.14 190C.odem;75;190;13;74560.1110;4520483 ms;797MB;false
_b01-elasticsearch-native-9.1.0 66C.odem;25;66;6;21725.0058;48510 ms;1516MB;false
_b01-elasticsearch-native-9.1.0 66C.odem;50;66;8;15071.6955;29954 ms;1769MB;false
_b01-elasticsearch-native-9.1.0 66C.odem;75;66;11;8517.7800;17786 ms;1166MB;false
_b01-lucene-analysis-kuromoji-11.0.0 69C.odem;50;68;8;15004.7765;33541 ms;455MB;false
_b01-lucene-analysis-kuromoji-11.0.0 69C.odem;75;68;20;7655.2360;20077 ms;426MB;false
_b01-jmetal-component-6.2.2 132C.odem;50;132;12;63685.0081;1725839 ms;419MB;false
_b01-jmetal-component-6.2.2 132C.odem;75;132;16;33357.4312;820942 ms;598MB;false
_b01-junit-platform-engine-1.10.1 136C.odem;25;135;8;99421.2079;2745374 ms;202MB;false
_b01-junit-platform-engine-1.10.1 136C.odem;50;135;9;65241.5996;1842610 ms;389MB;false
_b01-junit-platform-engine-1.10.1 136C.odem;75;135;13;33608.8026;818586 ms;139MB;false
_b01-dubbo-cluster-3.2.8 195C.odem;75;195;13;69532.4007;6448608 ms;339MB;false
_b01-elasticsearch-geo-9.1.0 58C.odem;25;58;8;17913.1189;29696 ms;388MB;false
_b01-elasticsearch-geo-9.1.0 58C.odem;50;58;7;13471.6608;21176 ms;601MB;false
_b01-elasticsearch-geo-9.1.0 58C.odem;75;58;6;8048.8187;13242 ms;247MB;false
_b01-jgit-lfs-6.8.0 41C.odem;25;41;5;7737.7534;4243 ms;260MB;false
_b01-jgit-lfs-6.8.0 41C.odem;50;41;7;5724.0530;3179 ms;361MB;false
_b01-jgit-lfs-6.8.0 41C.odem;75;41;11;3292.5451;1971 ms;451MB;false
_b01-gson-2.10.1 212C.odem;25;212;213;-1000000000000.0000;18 ms;433MB;true
_b01-moquette-broker-0.19 204C.odem;75;204;16;79749.5995;7442285 ms;323MB;false
_b01-junit-jupiter-engine-5.10.1 130C.odem;25;129;7;89982.7802;2250106 ms;163MB;false
_b01-junit-jupiter-engine-5.10.1 130C.odem;50;129;9;59947.7366;1405980 ms;1499MB;false
_b01-junit-jupiter-engine-5.10.1 130C.odem;75;129;14;32411.4099;685450 ms;1306MB;false
_b01-jmetal-auto-6.2.2 69C.odem;25;69;70;-1000000000000.0000;3 ms;1300MB;true
_b01-jmetal-auto-6.2.2 69C.odem;50;69;9;15522.4728;44438 ms;871MB;false
_b01-jmetal-auto-6.2.2 69C.odem;75;69;10;8196.4891;22492 ms;746MB;false
_b01-jmetal-lab-6.2.2 54C.odem;25;54;9;14208.1871;17032 ms;982MB;false
_b01-jmetal-lab-6.2.2 54C.odem;50;54;6;10023.9044;11616 ms;1237MB;false
_b01-jmetal-lab-6.2.2 54C.odem;75;54;9;5597.3283;6669 ms;815MB;false
_b01-lucene-highlighter-11.0.0 167C.odem;25;166;4;157263.7705;8790722 ms;1329MB;false
_b01-log4j-api-2.21.1 189C.odem;25;181;7;190633.8799;16389635 ms;411MB;false
_b01-lucene-highlighter-11.0.0 167C.odem;50;166;8;103031.1248;4727954 ms;576MB;false
_b01-lucene-highlighter-11.0.0 167C.odem;75;166;12;51073.2197;2384169 ms;551MB;false
_b01-scribejava-apis-8.3.4 175C.odem;25;175;176;-1000000000000.0000;8 ms;537MB;true
_b01-scribejava-apis-8.3.4 175C.odem;50;175;176;-1000000000000.0000;8 ms;529MB;true
_b01-scribejava-apis-8.3.4 175C.odem;75;175;176;-1000000000000.0000;8 ms;521MB;true
_b01-log4j-api-2.21.1 189C.odem;50;181;9;126152.6067;9248916 ms;292MB;false
_b01-lucene-codecs-11.0.0 208C.odem;25;207;5;258459.8972;28753794 ms;1039MB;false
_b01-gson-2.10.1 212C.odem;50;212;9;180489.3902;24007884 ms;183MB;false
_b01-log4j-api-2.21.1 189C.odem;75;181;14;66069.6765;4137586 ms;226MB;false
_b01-jgit-ssh-6.8.0 100C.odem;25;98;99;-1000000000000.0000;6 ms;216MB;true
_b01-jgit-ssh-6.8.0 100C.odem;50;98;12;32823.3663;264707 ms;751MB;false
_b01-jgit-ssh-6.8.0 100C.odem;75;98;14;17450.5169;118233 ms;790MB;false
_b01-junit-platform-launcher-1.10.1 116C.odem;25;115;10;70832.7592;1058757 ms;226MB;false
_b01-junit-platform-launcher-1.10.1 116C.odem;50;115;13;46573.0084;586380 ms;556MB;false
_b01-junit-platform-launcher-1.10.1 116C.odem;75;115;14;24966.9038;323157 ms;157MB;false
_b01-gson-2.10.1 212C.odem;75;212;15;92611.3717;8147152 ms;587MB;false
_b01-jgit-http-6.8.0 61C.odem;25;61;11;17818.2739;29233 ms;285MB;false
_b01-jgit-http-6.8.0 61C.odem;50;61;15;12408.2904;18691 ms;542MB;false
_b01-jgit-http-6.8.0 61C.odem;75;61;17;6575.7004;10534 ms;579MB;false
_b01-jgit-pgm-6.8.0 121C.odem;25;121;8;79414.6249;1467535 ms;457MB;false
_b01-jgit-pgm-6.8.0 121C.odem;50;121;14;52756.6711;1006974 ms;384MB;false
_b01-jgit-pgm-6.8.0 121C.odem;75;121;16;27714.6813;507744 ms;301MB;false
_b01-lucene-codecs-11.0.0 208C.odem;50;207;12;166030.5287;17662346 ms;678MB;false
_b01-lucene-codecs-11.0.0 208C.odem;75;207;18;80880.2177;6277567 ms;1954MB;false
_b01-log4j-iostreams-2.21.1 29C.odem;25;26;8;2687.6262;314 ms;2076MB;false
_b01-log4j-iostreams-2.21.1 29C.odem;50;26;5;1803.2413;242 ms;1148MB;false
_b01-log4j-iostreams-2.21.1 29C.odem;75;26;5;1047.0102;166 ms;1962MB;false
_b01-log4j-jpa-2.21.1 26C.odem;25;23;9;2060.1641;181 ms;1200MB;false
_b01-log4j-jpa-2.21.1 26C.odem;50;23;8;1540.1123;142 ms;2020MB;false
_b01-log4j-jpa-2.21.1 26C.odem;75;23;9;818.2064;92 ms;1644MB;false
_b01-log4j-layout-template-json-2.21.1 154C.odem;25;150;9;127775.6289;4082506 ms;1066MB;false
_b01-log4j-layout-template-json-2.21.1 154C.odem;50;150;12;83929.5203;2448783 ms;1923MB;false
