ProjectName;StdDev;ClassCount;ClustersCount;Fitness;ExecutionTime;Memory;ExecutionAborted
_b01-dubbo-cluster-3.2.8 195C.odem;0;195;51;5492.9486;428194 ms;493MB;false
_b01-jmetal-component-6.2.2 132C.odem;0;132;30;5552.0350;139746 ms;307MB;false
_b01-elasticsearch-core-9.1.0 63C.odem;0;63;24;860.6466;3285 ms;638MB;false
_b01-elasticsearch-geo-9.1.0 58C.odem;0;58;14;3533.4141;5861 ms;409MB;false
_b01-lucene-analysis-kuromoji-11.0.0 69C.odem;0;68;28;1560.0687;5444 ms;421MB;false
_b01-lucene-codecs-11.0.0 208C.odem;0;207;57;7906.4845;681037 ms;629MB;false
_b01-aep-core-0.10.0 162C.odem;0;162;49;4728.6128;209469 ms;483MB;false
_b01-joda-money-2.0.3 29C.odem;0;28;7;1041.3501;221 ms;531MB;false
_b01-log4j-iostreams-2.21.1 29C.odem;0;26;14;469.2886;103 ms;551MB;false
_b01-joda-time-2.14.0 248C.odem;0;248;58;23513.5905;3602662 ms;212MB;false
_b01-log4j-jpa-2.21.1 26C.odem;0;23;10;298.6243;59 ms;440MB;false
_b01-junit-platform-engine-1.10.1 136C.odem;0;135;38;4757.6795;112693 ms;511MB;false
_b01-lucene-analysis-nori-11.0.0 48C.odem;0;47;18;1625.3915;1628 ms;461MB;false
_b01-moquette-broker-0.19 204C.odem;0;204;50;8542.3120;677099 ms;253MB;false
_b01-jgit-lfs-6.8.0 41C.odem;0;41;8;1058.8829;828 ms;449MB;false
_b01-javaGeom-0.11.3 159C.odem;0;159;29;20292.3622;793150 ms;486MB;false
_b01-junit-jupiter-engine-5.10.1 130C.odem;0;129;44;4452.7841;89779 ms;232MB;false
_b01-gson-2.10.1 212C.odem;0;212;39;11758.0616;1045607 ms;143MB;false
_b01-log4j-layout-template-json-2.21.1 154C.odem;0;150;42;6857.0212;204053 ms;410MB;false
_b01-jgit-http-6.8.0 61C.odem;0;61;27;1731.9667;3946 ms;334MB;false
_b01-log4j-api-2.21.1 189C.odem;0;181;51;7598.0914;395438 ms;272MB;false
_b01-jgit-ssh-6.8.0 100C.odem;0;98;31;3158.5360;29261 ms;385MB;false
_b01-junit-platform-launcher-1.10.1 116C.odem;0;115;34;3945.5568;58378 ms;185MB;false
_b01-javacc-7.0.14 190C.odem;0;190;20;12792.7903;994508 ms;427MB;false
_b01-elasticsearch-native-9.1.0 66C.odem;0;66;16;2534.2331;7004 ms;140MB;false
_b01-jgit-pgm-6.8.0 121C.odem;0;121;29;4159.4479;88942 ms;398MB;false
_b01-lucene-highlighter-11.0.0 167C.odem;0;166;38;5558.4509;259562 ms;395MB;false
_b01-scribejava-apis-8.3.4 175C.odem;0;175;94;2589.0921;210099 ms;359MB;false
_b01-jmetal-auto-6.2.2 69C.odem;0;69;13;1801.4446;6842 ms;305MB;false
_b01-jmetal-lab-6.2.2 54C.odem;0;54;18;2097.5270;3197 ms;198MB;false
_b01-lucene-luke-11.0.0 278C.odem;0;277;69;16050.8041;3160585 ms;245MB;false
_b01-joda-money-marlon 26C.odem;0;26;7;908.5889;421 ms;233MB;false
