Iteration;ProjectName;StdDev;ClassCount;ClustersCount;Fitness;ExecutionTime;Memory;ExecutionAborted
0;_b01-joda-time-2.14.0 248C.odem;0;248;121;18.3792;213;243;false
0;_b01-lucene-highlighter-11.0.0 167C.odem;0;166;89;22.7021;42;239;false
0;_b01-joda-money-2.0.3 29C.odem;0;28;10;2.8762;11;239;false
0;_b01-moquette-broker-0.19 204C.odem;0;204;101;24.3960;71;237;false
0;_b01-lucene-analysis-kuromoji-11.0.0 69C.odem;0;68;36;13.2982;13;235;false
0;_b01-junit-platform-launcher-1.10.1 116C.odem;0;115;55;15.9509;16;234;false
0;_b01-jgit-http-6.8.0 61C.odem;0;61;32;10.6159;13;233;false
0;_b01-log4j-api-2.21.1 189C.odem;0;181;97;21.3581;38;231;false
0;_b01-jgit-lfs-6.8.0 41C.odem;0;41;19;4.6996;8;230;false
0;_b01-elasticsearch-geo-9.1.0 58C.odem;0;58;26;4.9765;10;229;false
0;_b01-log4j-iostreams-2.21.1 29C.odem;0;26;17;5.4026;8;229;false
0;_b01-aep-core-0.10.0 162C.odem;0;162;85;28.0249;25;228;false
0;_b01-jgit-ssh-6.8.0 100C.odem;0;98;53;15.4371;14;226;false
0;_b01-log4j-jpa-2.21.1 26C.odem;0;23;11;4.4921;7;226;false
0;_b01-jmetal-auto-6.2.2 69C.odem;0;69;32;4.5775;11;225;false
0;_b01-gson-2.10.1 212C.odem;0;212;95;18.5608;54;223;false
0;_b01-junit-platform-engine-1.10.1 136C.odem;0;135;72;18.7022;19;221;false
0;_b01-lucene-analysis-nori-11.0.0 48C.odem;0;47;26;6.4777;8;220;false
0;_b01-scribejava-apis-8.3.4 175C.odem;0;175;109;68.5811;31;219;false
0;_b01-lucene-luke-11.0.0 278C.odem;0;277;140;31.2440;96;215;false
0;_b01-jmetal-component-6.2.2 132C.odem;0;132;61;11.3549;18;213;false
0;_b01-elasticsearch-native-9.1.0 66C.odem;0;66;28;6.6393;10;212;false
0;_b01-elasticsearch-core-9.1.0 63C.odem;0;63;41;13.2534;7;211;false
0;_b01-javacc-7.0.14 190C.odem;0;190;83;12.9851;39;209;false
0;_b01-jgit-pgm-6.8.0 121C.odem;0;121;58;11.8495;14;207;false
0;_b01-lucene-codecs-11.0.0 208C.odem;0;207;114;29.1900;44;205;false
0;_b01-jmetal-lab-6.2.2 54C.odem;0;54;29;6.1514;9;204;false
0;_b01-dubbo-cluster-3.2.8 195C.odem;0;195;107;28.7537;37;202;false
0;_b01-junit-jupiter-engine-5.10.1 130C.odem;0;129;68;17.0225;15;200;false
0;_b01-log4j-layout-template-json-2.21.1 154C.odem;0;150;78;15.2923;23;199;false
0;_b01-javaGeom-0.11.3 159C.odem;0;159;75;11.6174;34;243;false
1;_b01-joda-time-2.14.0 248C.odem;0;248;120;18.3792;75;239;false
1;_b01-lucene-highlighter-11.0.0 167C.odem;0;166;90;22.7021;24;235;false
1;_b01-joda-money-2.0.3 29C.odem;0;28;11;2.7777;9;235;false
1;_b01-moquette-broker-0.19 204C.odem;0;204;105;24.3960;42;233;false
