projectName,algorithm,fileName,numberOfNodes,numberOfEdges,numberOfPackages,avgClassesPerPackage,mojoFM,singlePackageCommitRatio,avgPackageCommit
javacc-7.0.14,original,_b01-javacc-7.0.14 190C.odem.json,190,840,6,31.6667,0.022954,0.844444,1.229630
joda-time-2.14.0,original,_b01-joda-time-2.14.0 248C.odem.json,248,830,7,35.4286,0.098737,0.772912,1.402240
elasticsearch-geo-9.1.0,original,_b01-elasticsearch-geo-9.1.0 58C.odem.json,58,139,3,19.3333,0.365546,0.727273,1.295455
jmetal-auto-6.2.2,original,_b01-jmetal-auto-6.2.2 69C.odem.json,69,35,7,9.8571,0.174305,0.595541,1.627389
log4j-iostreams-2.21.1,original,_b01-log4j-iostreams-2.21.1 29C.odem.json,26,20,2,13.0000,0.764706,0.941176,1.058824
lucene-analysis-kuromoji-11.0.0,original,_b01-lucene-analysis-kuromoji-11.0.0 69C.odem.json,68,85,4,17.0000,0.109325,0.889251,1.149837
lucene-highlighter-11.0.0,original,_b01-lucene-highlighter-11.0.0 167C.odem.json,166,414,4,41.5000,0.185061,0.873563,1.155172
log4j-layout-template-json-2.21.1,original,_b01-log4j-layout-template-json-2.21.1 154C.odem.json,150,433,3,50.0000,0.033098,0.648148,1.500000
gson-2.10.1,original,_b01-gson-2.10.1 212C.odem.json,212,329,9,23.5556,0.029943,0.751055,1.344585
lucene-analysis-nori-11.0.0,original,_b01-lucene-analysis-nori-11.0.0 48C.odem.json,47,92,3,15.6667,0.178255,0.905138,1.138340
jmetal-component-6.2.2,original,_b01-jmetal-component-6.2.2 132C.odem.json,132,147,43,3.0698,0.136252,0.651822,2.200405
jgit-ssh-6.8.0,original,_b01-jgit-ssh-6.8.0 100C.odem.json,98,164,7,14.0000,0.068056,0.494253,1.678161
joda-money-marlon,original,_b01-joda-money-marlon 26C.odem.json,26,67,2,13.0000,0.590909,0.869281,1.130719
elasticsearch-native-9.1.0,original,_b01-elasticsearch-native-9.1.0 66C.odem.json,66,115,4,16.5000,0.165414,0.500000,1.925000
dubbo-cluster-3.2.8,original,_b01-dubbo-cluster-3.2.8 195C.odem.json,195,240,45,4.3333,0.193644,0.755915,1.672478
log4j-api-2.21.1,original,_b01-log4j-api-2.21.1 189C.odem.json,181,332,7,25.8571,0.047334,0.845297,1.260520
jgit-http-6.8.0,original,_b01-jgit-http-6.8.0 61C.odem.json,61,118,3,20.3333,0.124575,0.834646,1.228346
moquette-broker-0.19,original,_b01-moquette-broker-0.19 204C.odem.json,204,446,12,17.0000,0.041975,0.698276,1.519397
