0,project,baseline_type,compare_type
<Operation Update: com.google.cloud.tools.appengine.AppEngineException to com.google.cloud.tools.appengine.operations.cloudsdk.process.ProcessExitListener>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.AppEngineDescriptor to com.google.cloud.tools.appengine.operations.cloudsdk.process.ProcessStartListener>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.operations.Gcloud$Builder to com.google.cloud.tools.appengine.operations.cloudsdk.process.LegacyProcessHandler$Builder>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.operations.CloudSdk to com.google.cloud.tools.appengine.operations.cloudsdk.process.LegacyProcessHandler$4>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.operations.GcloudRunner$Factory to com.google.cloud.tools.appengine.operations.cloudsdk.process.LegacyProcessHandler>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.operations.Gcloud to com.google.cloud.tools.appengine.operations.cloudsdk.process.LegacyProcessHandler$2>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.operations.Gcloud$1 to com.google.cloud.tools.appengine.operations.cloudsdk.process.LegacyProcessHandler$1>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.operations.GcloudRunner to com.google.cloud.tools.appengine.operations.cloudsdk.process.ProcessOutputLineListener>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.operations.AppYamlProjectStaging to com.google.cloud.tools.appengine.operations.cloudsdk.process.LegacyProcessHandler$3>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.operations.AppYamlProjectStaging$CopyService to com.google.cloud.tools.appengine.operations.cloudsdk.internal.process.WaitingProcessOutputLineListener>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.operations.DevAppServerRunner to com.google.cloud.tools.appengine.operations.cloudsdk.internal.process.ExitCodeRecorderProcessExitListener>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.operations.DevAppServerRunner$Factory to com.google.cloud.tools.appengine.operations.cloudsdk.process.StringBuilderProcessOutputLineListener>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.operations.GenRepoInfoFile to com.google.cloud.tools.io.FilePermissions>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.operations.CloudSdk$Builder to com.google.cloud.tools.appengine.operations.cloudsdk.process.LegacyProcessHandler$Builder$DevAppServerAsyncOutputWatcherFactory>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.operations.CloudSdk$1 to com.google.cloud.tools.project.ServiceNameValidator>,aep-core-0.10.0,original,hmd
<Operation Insert: Mcom.google.cloud.tools.appengine.operations.cloudsdk.process.LegacyProcessHandler$Builder$DevAppServerAsyncOutputWatcherFactory>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.operations.CloudSdk$ResolverComparator to com.google.cloud.tools.appengine.configuration.VersionsSelectionConfiguration>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.operations.DevServers$1 to com.google.cloud.tools.appengine.configuration.VersionsSelectionConfiguration$Builder>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.operations.DevServers to com.google.cloud.tools.appengine.configuration.VersionsSelectionConfiguration$1>,aep-core-0.10.0,original,hmd
<Operation Insert: Mcom.google.cloud.tools.appengine.configuration.VersionsSelectionConfiguration$Builder>,aep-core-0.10.0,original,hmd
<Operation Insert: Mcom.google.cloud.tools.managedcloudsdk.install.UnixInstallScriptProvider>,aep-core-0.10.0,original,hmd
