project,baseline_type,compare_type,distance,normalized_distance
aep-core-0.10.0,original,hmd,229.0,0.5782828282828283
aep-core-0.10.0,original,crg_stddev_25,180.0,0.5113636363636364
aep-core-0.10.0,original,crg_stddev_50,180.0,0.5056179775280899
aep-core-0.10.0,original,crg_stddev_75,189.0,0.5264623955431755
aep-core-0.10.0,original,mq_iteration_0,265.0,0.6120092378752887
aep-core-0.10.0,original,mq_iteration_1,264.0,0.6111111111111112
aep-core-0.10.0,original,mq_iteration_2,273.0,0.6204545454545455
aep-core-0.10.0,original,mq_iteration_3,274.0,0.618510158013544
aep-core-0.10.0,original,mq_iteration_4,272.0,0.6195899772209568
aep-core-0.10.0,original,mq_iteration_5,274.0,0.6199095022624435
aep-core-0.10.0,original,mq_iteration_6,262.0,0.6093023255813953
aep-core-0.10.0,original,mq_iteration_7,265.0,0.6091954022988506
aep-core-0.10.0,original,mq_iteration_8,266.0,0.6100917431192661
aep-core-0.10.0,original,mq_iteration_9,271.0,0.6187214611872146
aep-core-0.10.0,original,mq_iteration_10,273.0,0.621867881548975
aep-core-0.10.0,original,mq_iteration_11,260.0,0.6060606060606061
aep-core-0.10.0,original,mq_iteration_12,276.0,0.6230248306997742
aep-core-0.10.0,original,mq_iteration_13,270.0,0.6192660550458715
aep-core-0.10.0,original,mq_iteration_14,268.0,0.6118721461187214
aep-core-0.10.0,original,mq_iteration_15,260.0,0.6046511627906976
aep-core-0.10.0,original,mq_iteration_16,267.0,0.6137931034482759
aep-core-0.10.0,original,mq_iteration_17,270.0,0.6192660550458715
aep-core-0.10.0,original,mq_iteration_18,268.0,0.6146788990825688
aep-core-0.10.0,original,mq_iteration_19,265.0,0.6120092378752887
aep-core-0.10.0,original,mq_iteration_20,271.0,0.615909090909091
aep-core-0.10.0,original,mq_iteration_21,268.0,0.6132723112128147
aep-core-0.10.0,original,mq_iteration_22,262.0,0.6093023255813953
aep-core-0.10.0,original,mq_iteration_23,271.0,0.6173120728929385
aep-core-0.10.0,original,mq_iteration_24,268.0,0.6160919540229886
aep-core-0.10.0,original,mq_iteration_25,259.0,0.6065573770491803
aep-core-0.10.0,original,mq_iteration_26,267.0,0.6152073732718893
aep-core-0.10.0,original,mq_iteration_27,264.0,0.6111111111111112
aep-core-0.10.0,original,mq_iteration_28,271.0,0.615909090909091
aep-core-0.10.0,original,mq_iteration_29,242.0,0.5902439024390244
dubbo-cluster-3.2.8,original,hmd,290.0,0.5894308943089431
dubbo-cluster-3.2.8,original,crg_stddev_25,418.0,0.6562009419152276
dubbo-cluster-3.2.8,original,crg_stddev_50,418.0,0.6562009419152276
dubbo-cluster-3.2.8,original,crg_stddev_75,254.0,0.5594713656387665
dubbo-cluster-3.2.8,original,mq_iteration_0,335.0,0.6102003642987249
dubbo-cluster-3.2.8,original,mq_iteration_1,329.0,0.6014625228519196
dubbo-cluster-3.2.8,original,mq_iteration_2,340.0,0.617059891107078
dubbo-cluster-3.2.8,original,mq_iteration_3,343.0,0.6169064748201439
dubbo-cluster-3.2.8,original,mq_iteration_4,335.0,0.6102003642987249
dubbo-cluster-3.2.8,original,mq_iteration_5,330.0,0.6066176470588235
dubbo-cluster-3.2.8,original,mq_iteration_6,332.0,0.6102941176470589
dubbo-cluster-3.2.8,original,mq_iteration_7,337.0,0.6105072463768116
dubbo-cluster-3.2.8,original,mq_iteration_8,330.0,0.6066176470588235
dubbo-cluster-3.2.8,original,mq_iteration_9,333.0,0.6110091743119266
dubbo-cluster-3.2.8,original,mq_iteration_10,339.0,0.6141304347826086
dubbo-cluster-3.2.8,original,mq_iteration_11,328.0,0.6051660516605166
dubbo-cluster-3.2.8,original,mq_iteration_12,336.0,0.6120218579234973
dubbo-cluster-3.2.8,original,mq_iteration_13,337.0,0.614963503649635
dubbo-cluster-3.2.8,original,mq_iteration_14,335.0,0.6113138686131386
dubbo-cluster-3.2.8,original,mq_iteration_15,328.0,0.6018348623853211
dubbo-cluster-3.2.8,original,mq_iteration_16,334.0,0.6094890510948905
dubbo-cluster-3.2.8,original,mq_iteration_17,339.0,0.6152450090744102
dubbo-cluster-3.2.8,original,mq_iteration_18,326.0,0.5981651376146789
dubbo-cluster-3.2.8,original,mq_iteration_19,326.0,0.6003683241252302
dubbo-cluster-3.2.8,original,mq_iteration_20,335.0,0.6113138686131386
dubbo-cluster-3.2.8,original,mq_iteration_21,331.0,0.6073394495412844
dubbo-cluster-3.2.8,original,mq_iteration_22,329.0,0.6058931860036832
dubbo-cluster-3.2.8,original,mq_iteration_23,331.0,0.6095764272559853
dubbo-cluster-3.2.8,original,mq_iteration_24,336.0,0.6120218579234973
dubbo-cluster-3.2.8,original,mq_iteration_25,341.0,0.6144144144144145
dubbo-cluster-3.2.8,original,mq_iteration_26,330.0,0.6066176470588235
dubbo-cluster-3.2.8,original,mq_iteration_27,332.0,0.6091743119266055
dubbo-cluster-3.2.8,original,mq_iteration_28,347.0,0.6229802513464991
dubbo-cluster-3.2.8,original,mq_iteration_29,346.0,0.6200716845878136
elasticsearch-core-9.1.0,original,hmd,89.0,0.5668789808917197
elasticsearch-core-9.1.0,original,crg_stddev_25,71.0,0.5107913669064749
elasticsearch-core-9.1.0,original,crg_stddev_50,79.0,0.5448275862068965
elasticsearch-core-9.1.0,original,crg_stddev_75,83.0,0.5496688741721855
elasticsearch-core-9.1.0,original,mq_iteration_0,108.0,0.6171428571428571
elasticsearch-core-9.1.0,original,mq_iteration_1,106.0,0.6162790697674418
elasticsearch-core-9.1.0,original,mq_iteration_2,109.0,0.6228571428571429
elasticsearch-core-9.1.0,original,mq_iteration_3,108.0,0.6206896551724138
elasticsearch-core-9.1.0,original,mq_iteration_4,110.0,0.625
elasticsearch-core-9.1.0,original,mq_iteration_5,102.0,0.6071428571428571
elasticsearch-core-9.1.0,original,mq_iteration_6,104.0,0.6046511627906976
elasticsearch-core-9.1.0,original,mq_iteration_7,104.0,0.6011560693641619
elasticsearch-core-9.1.0,original,mq_iteration_8,105.0,0.6104651162790697
elasticsearch-core-9.1.0,original,mq_iteration_9,98.0,0.5868263473053892
elasticsearch-core-9.1.0,original,mq_iteration_10,106.0,0.6127167630057804
elasticsearch-core-9.1.0,original,mq_iteration_11,105.0,0.6104651162790697
elasticsearch-core-9.1.0,original,mq_iteration_12,106.0,0.6162790697674418
elasticsearch-core-9.1.0,original,mq_iteration_13,110.0,0.6285714285714286
elasticsearch-core-9.1.0,original,mq_iteration_14,106.0,0.6162790697674418
elasticsearch-core-9.1.0,original,mq_iteration_15,99.0,0.5892857142857143
elasticsearch-core-9.1.0,original,mq_iteration_16,104.0,0.6153846153846154
elasticsearch-core-9.1.0,original,mq_iteration_17,102.0,0.6071428571428571
elasticsearch-core-9.1.0,original,mq_iteration_18,105.0,0.6104651162790697
elasticsearch-core-9.1.0,original,mq_iteration_19,104.0,0.6081871345029239
elasticsearch-core-9.1.0,original,mq_iteration_20,106.0,0.6057142857142858
elasticsearch-core-9.1.0,original,mq_iteration_21,101.0,0.6047904191616766
elasticsearch-core-9.1.0,original,mq_iteration_22,103.0,0.6058823529411764
elasticsearch-core-9.1.0,original,mq_iteration_23,102.0,0.6071428571428571
elasticsearch-core-9.1.0,original,mq_iteration_24,105.0,0.6140350877192983
elasticsearch-core-9.1.0,original,mq_iteration_25,103.0,0.6094674556213018
elasticsearch-core-9.1.0,original,mq_iteration_26,104.0,0.6153846153846154
