NAME,DEV,MQ,MDL,CRG-25,CRG-50,CRG-75
AEP,9.5,1.9,4.5,40.5,27,23.1
ELC,21,1.7,3.7,12.6,7.9,5.7
ELG,19.3,2.2,5.8,11.6,11.6,11.6
ELN,16.5,2,6,16.5,13.2,7.3
JCC,31.7,2.3,11.9,63.3,47.5,19
JGE,8,2.2,7.2,53,31.8,26.5
JGH,20.3,1.8,2.9,8.7,5.1,5.1
JGL,10.2,1.9,6.8,10.2,10.2,5.9
JGP,24.2,2.1,5.5,24.2,15.1,12.1
JJE,16.1,1.8,4.3,32.2,25.8,12.9
JML,4.2,2.1,4.9,10.8,13.5,9
JMO,14,2.1,5.6,7,5.6,5.6
JPE,15,2,4.8,27,27,15
JPL,19.2,1.9,4.4,19.2,14.4,11.5
LJA,25.9,1.9,4.6,36.2,36.2,20.1
LJI,13,1.8,2.4,6.5,6.5,6.5
LJJ,11.5,1.8,4.6,4.6,4.6,3.8
LJL,50,2.1,4.8,30,18.8,12.5
LUC,25.9,1.9,4.9,51.8,23,17.2
LUH,41.5,1.9,5.7,55.3,33.2,20.8
LUN,15.7,1.9,3.6,7.8,6.7,5.9
,4.2,1.7,2.4,4.6,4.6,3.8
,19.7,2,5.2,25.2,18.3,12.2
,11,0.2,1.9,18.5,12,6.7
,50,2.3,11.9,63.3,47.5,26.5
