NAME,MQ,MDL,CRG-25,CRG-50,CRG-75
AEP,0.2,0.47,4.26,2.84,2.43
ELC,0.08,0.18,0.6,0.38,0.27
ELG,0.11,0.3,0.6,0.6,0.6
ELN,0.12,0.36,1,0.8,0.44
JCC,0.07,0.38,2,1.5,0.6
JGE,0.28,0.9,6.62,3.98,3.31
JGH,0.09,0.14,0.43,0.25,0.25
JGL,0.19,0.67,1,1,0.58
JGP,0.09,0.23,1,0.62,0.5
JJE,0.11,0.27,2,1.6,0.8
JML,0.5,1.17,2.57,3.21,2.14
JMO,0.15,0.4,0.5,0.4,0.4
JPE,0.13,0.32,1.8,1.8,1
JPL,0.1,0.23,1,0.75,0.6
LJA,0.07,0.18,1.4,1.4,0.78
LJI,0.14,0.18,0.5,0.5,0.5
LJJ,0.16,0.4,0.4,0.4,0.33
LJL,0.04,0.1,0.6,0.38,0.25
LUC,0.07,0.19,2,0.89,0.66
LUH,0.05,0.14,1.33,0.8,0.5
LUN,0.12,0.23,0.5,0.43,0.38
