NAME,DEV,MQ,MDL,CRG-25,CRG-50,CRG-75
AEP,1.71,3.04,2.27,1.28,1.27,1.35
ELC,1.02,1.48,1.27,1.13,1.23,1.25
ELG,1.3,3.04,1.98,1.05,1.23,1.2
ELN,1.93,4.85,2.8,1.73,1.93,2.38
JCC,1.23,3.4,1.61,1.38,1.14,1.55
JGE,3.26,7.45,3.28,1.94,1.89,2.03
JGH,1.23,2.82,2.57,1.43,1.81,1.83
JGL,1.29,1.76,1.38,1.37,1.24,1.43
JGP,1.17,1.75,1.45,1.17,1.24,1.28
JJE,1.37,2.54,2.12,1.1,1.16,1.53
JML,1.67,2.82,1.65,1.22,1.25,1.35
JMO,1.13,2.14,1.58,1.45,1.44,1.41
JPE,1.35,2.77,1.92,1.32,1.16,1.37
JPL,1.36,2.66,2.1,1.34,1.22,1.48
LJA,1.26,1.8,1.55,1.2,1.15,1.2
LJI,1.06,4.23,4.18,1.71,1.59,1.8
LJJ,1.25,2.09,1.63,1.5,1.58,1.55
LJL,1.5,5.17,3.96,1.63,1.78,2.11
LUC,1.54,3,2.66,1.45,1.51,1.61
LUH,1.16,2.36,1.8,1.3,1.11,1.2
LUN,1.14,1.91,1.68,1.4,1.37,1.49
,1.02,1.48,1.27,1.05,1.11,1.2
,1.43,3,2.16,1.39,1.4,1.54
,0.48,1.42,0.82,0.22,0.27,0.32
,3.26,7.45,4.18,1.94,1.93,2.38
