NAME,MQ,MDL,CRG-25,CRG-50,CRG-75
AEP,1.78,1.33,0.75,0.74,0.79
ELC,1.45,1.25,1.11,1.21,1.23
ELG,2.34,1.52,0.81,0.95,0.92
ELN,2.51,1.45,0.9,1,1.23
JCC,2.76,1.31,1.12,0.93,1.26
JGE,2.29,1.01,0.6,0.58,0.62
JGH,2.29,2.09,1.16,1.47,1.49
JGL,1.36,1.07,1.06,0.96,1.11
JGP,1.5,1.24,1,1.06,1.09
JJE,1.85,1.55,0.8,0.85,1.12
JML,1.69,0.99,0.73,0.75,0.81
JMO,1.89,1.4,1.28,1.27,1.25
JPE,2.05,1.42,0.98,0.86,1.01
JPL,1.96,1.54,0.99,0.9,1.09
LJA,1.43,1.23,0.95,0.91,0.95
LJI,3.99,3.94,1.61,1.5,1.7
LJJ,1.67,1.3,1.2,1.26,1.24
LJL,3.45,2.64,1.09,1.19,1.41
LUC,1.95,1.73,0.94,0.98,1.05
LUH,2.03,1.55,1.12,0.96,1.03
LUN,1.68,1.47,1.23,1.2,1.31
