NAME,DEV,MQ,MDL,CRG-25,CRG-50,CRG-75
AEP,0.64,0.53,0.59,0.75,0.77,0.74
ELC,0.98,0.84,0.87,0.9,0.88,0.88
ELG,0.73,0.66,0.68,0.95,0.82,0.84
ELN,0.5,0.47,0.52,0.7,0.5,0.5
JCC,0.84,0.6,0.75,0.68,0.89,0.73
JGE,0.39,0.23,0.36,0.31,0.48,0.34
JGH,0.83,0.58,0.59,0.76,0.69,0.68
JGL,0.79,0.71,0.78,0.77,0.82,0.73
JGP,0.87,0.8,0.84,0.87,0.84,0.82
JJE,0.79,0.63,0.65,0.91,0.88,0.72
JML,0.69,0.49,0.63,0.82,0.79,0.76
JMO,0.87,0.58,0.71,0.72,0.75,0.76
JPE,0.8,0.64,0.77,0.72,0.88,0.79
JPL,0.75,0.6,0.64,0.74,0.86,0.7
LJA,0.85,0.75,0.8,0.83,0.88,0.85
LJI,0.94,0.47,0.47,0.55,0.61,0.51
LJJ,0.75,0.58,0.6,0.75,0.64,0.71
LJL,0.65,0.48,0.5,0.59,0.63,0.59
LUC,0.71,0.52,0.54,0.6,0.62,0.65
LUH,0.87,0.66,0.71,0.73,0.92,0.86
LUN,0.91,0.75,0.75,0.8,0.81,0.77
,0.39,0.23,0.36,0.31,0.48,0.34
,0.77,0.6,0.65,0.74,0.76,0.71
,0.14,0.14,0.13,0.14,0.13,0.13
,0.98,0.84,0.87,0.95,0.92,0.88
