NAME,MQ,MDL,CRG-25,CRG-50,CRG-75
AEP,0.83,0.92,1.17,1.2,1.16
ELC,0.86,0.89,0.92,0.9,0.9
ELG,0.9,0.93,1.3,1.12,1.15
ELN,0.94,1.04,1.4,1,1
JCC,0.71,0.89,0.81,1.06,0.87
JGE,0.59,0.92,0.79,1.23,0.87
JGH,0.7,0.71,0.92,0.83,0.82
JGL,0.9,0.99,0.97,1.04,0.92
JGP,0.92,0.97,1,0.97,0.94
JJE,0.8,0.82,1.15,1.11,0.91
JML,0.71,0.91,1.19,1.14,1.1
JMO,0.67,0.82,0.83,0.86,0.87
JPE,0.8,0.96,0.9,1.1,0.99
JPL,0.8,0.85,0.99,1.15,0.93
LJA,0.88,0.94,0.98,1.04,1
LJI,0.5,0.5,0.59,0.65,0.54
LJJ,0.77,0.8,1,0.85,0.95
LJL,0.74,0.77,0.91,0.97,0.91
LUC,0.73,0.76,0.85,0.87,0.92
LUH,0.76,0.82,0.84,1.06,0.99
LUN,0.82,0.82,0.88,0.89,0.85
