NAME,MQ,MDL,CRG-25,CRG-50,CRG-75
JCC,0.59,0.51,0.51,0.51,0.52
ELG,0.58,0.54,0.54,0.53,0.48
LJI,0.6,0.6,0.57,0.53,0.56
LUH,0.61,0.56,0.51,0.52,0.52
LJL,0.59,0.57,0.52,0.52,0.53
LUN,0.6,0.58,0.53,0.55,0.52
ELN,0.59,0.55,0.5,0.53,0.55
LJA,0.6,0.56,0.51,0.51,0.52
JGH,0.6,0.59,0.55,0.55,0.55
JGE,0.59,0.56,0.52,0.52,0.52
ELC,0.61,0.57,0.51,0.54,0.55
JGL,0.6,0.52,0.48,0.54,0.54
JML,0.62,0.58,0.58,0.57,0.55
LUC,0.59,0.56,0.51,0.51,0.52
JPL,0.6,0.57,0.52,0.52,0.52
LJJ,0.61,0.61,0.54,0.55,0.54
JMO,0.58,0.56,0.51,0.51,0.53
AEP,0.61,0.58,0.51,0.51,0.53
JGP,0.59,0.55,0.52,0.52,0.52
JJE,0.61,0.57,0.52,0.52,0.54
JPE,0.6,0.54,0.51,0.53,0.53
