tree_a,tree_b,distance,normalized_distance
autores,otimizacao-CRG25,22.0,0.44
autores,otimizacao-CRG50,22.0,0.44
autores,otimizacao-CRG75,29.0,0.58
autores,otimizacao-HMD,28.0,0.5714285714285714
autores,otimizacao-LNS,32.0,0.6037735849056604
autores,participante-ID01,26.0,0.5531914893617021
autores,participante-ID02,16.0,0.32653061224489793
autores,participante-ID03,26.0,0.5098039215686274
autores,participante-ID04,23.0,0.46
autores,participante-ID05,24.0,0.47058823529411764
autores,participante-ID06,30.0,0.5769230769230769
autores,participante-ID07,27.0,0.54
autores,participante-ID08,33.0,0.5789473684210527
autores,participante-ID09,27.0,0.54
autores,participante-ID10,28.0,0.5714285714285714
autores,participante-ID11,26.0,0.52
autores,participante-ID12,21.0,0.42857142857142855
autores,participante-ID13,24.0,0.5106382978723404
otimizacao-CRG25,otimizacao-CRG50,23.0,0.42592592592592593
otimizacao-CRG25,otimizacao-CRG75,21.0,0.3888888888888889
otimizacao-CRG25,otimizacao-HMD,23.0,0.4339622641509434
otimizacao-CRG25,otimizacao-LNS,31.0,0.543859649122807
otimizacao-CRG25,participante-ID01,23.0,0.45098039215686275
otimizacao-CRG25,participante-ID02,25.0,0.4716981132075472
otimizacao-CRG25,participante-ID03,31.0,0.5636363636363636
otimizacao-CRG25,participante-ID04,30.0,0.5555555555555556
otimizacao-CRG25,participante-ID05,32.0,0.5818181818181818
otimizacao-CRG25,participante-ID06,30.0,0.5357142857142857
otimizacao-CRG25,participante-ID07,29.0,0.5370370370370371
otimizacao-CRG25,participante-ID08,38.0,0.6229508196721312
otimizacao-CRG25,participante-ID09,31.0,0.5740740740740741
otimizacao-CRG25,participante-ID10,29.0,0.5471698113207547
otimizacao-CRG25,participante-ID11,28.0,0.5185185185185185
otimizacao-CRG25,participante-ID12,31.0,0.5849056603773585
otimizacao-CRG25,participante-ID13,28.0,0.5490196078431373
otimizacao-CRG50,otimizacao-CRG75,29.0,0.5370370370370371
otimizacao-CRG50,otimizacao-HMD,21.0,0.39622641509433965
otimizacao-CRG50,otimizacao-LNS,33.0,0.5789473684210527
otimizacao-CRG50,participante-ID01,28.0,0.5490196078431373
otimizacao-CRG50,participante-ID02,25.0,0.4716981132075472
otimizacao-CRG50,participante-ID03,29.0,0.5272727272727272
otimizacao-CRG50,participante-ID04,30.0,0.5555555555555556
otimizacao-CRG50,participante-ID05,29.0,0.5272727272727272
otimizacao-CRG50,participante-ID06,30.0,0.5357142857142857
otimizacao-CRG50,participante-ID07,28.0,0.5185185185185185
otimizacao-CRG50,participante-ID08,36.0,0.5901639344262295
otimizacao-CRG50,participante-ID09,29.0,0.5370370370370371
otimizacao-CRG50,participante-ID10,29.0,0.5471698113207547
otimizacao-CRG50,participante-ID11,29.0,0.5370370370370371
otimizacao-CRG50,participante-ID12,29.0,0.5471698113207547
otimizacao-CRG50,participante-ID13,27.0,0.5294117647058824
otimizacao-CRG75,otimizacao-HMD,21.0,0.39622641509433965
otimizacao-CRG75,otimizacao-LNS,28.0,0.49122807017543857
otimizacao-CRG75,participante-ID01,18.0,0.35294117647058826
otimizacao-CRG75,participante-ID02,31.0,0.5849056603773585
otimizacao-CRG75,participante-ID03,30.0,0.5454545454545454
otimizacao-CRG75,participante-ID04,29.0,0.5370370370370371
otimizacao-CRG75,participante-ID05,31.0,0.5636363636363636
otimizacao-CRG75,participante-ID06,30.0,0.5357142857142857
otimizacao-CRG75,participante-ID07,27.0,0.5
otimizacao-CRG75,participante-ID08,35.0,0.5737704918032787
otimizacao-CRG75,participante-ID09,29.0,0.5370370370370371
otimizacao-CRG75,participante-ID10,26.0,0.49056603773584906
otimizacao-CRG75,participante-ID11,30.0,0.5555555555555556
otimizacao-CRG75,participante-ID12,30.0,0.5660377358490566
otimizacao-CRG75,participante-ID13,27.0,0.5294117647058824
otimizacao-HMD,otimizacao-LNS,31.0,0.5535714285714286
otimizacao-HMD,participante-ID01,22.0,0.44
otimizacao-HMD,participante-ID02,30.0,0.5769230769230769
otimizacao-HMD,participante-ID03,31.0,0.5740740740740741
otimizacao-HMD,participante-ID04,31.0,0.5849056603773585
