NAME,MQ,MDL,CRG-25,CRG-50,CRG-75
AEP,1.65,1.41,1.11,1.11,1.17
ELC,1.66,1.41,1.13,1.25,1.32
ELG,1.5,1.26,1.21,1.19,1.07
ELN,1.55,1.29,1.11,1.18,1.24
JCC,1.46,1.11,1.06,1.05,1.09
JGE,1.55,1.3,1.14,1.13,1.15
JGH,1.62,1.51,1.26,1.31,1.33
JGL,1.64,1.24,1.12,1.27,1.34
JGP,1.52,1.28,1.12,1.15,1.16
JJE,1.61,1.4,1.12,1.12,1.18
JML,1.75,1.54,1.44,1.39,1.37
JMO,1.56,1.36,1.21,1.21,1.29
JPE,1.58,1.28,1.11,1.15,1.17
JPL,1.57,1.35,1.12,1.15,1.16
LJA,1.56,1.31,1.08,1.08,1.12
LJI,1.72,1.69,1.46,1.31,1.38
LJJ,1.87,1.74,1.52,1.52,1.52
LJL,1.51,1.33,1.11,1.11,1.17
LUC,1.53,1.31,1.07,1.09,1.13
LUH,1.57,1.27,1.05,1.09,1.1
LUN,1.63,1.47,1.26,1.32,1.23
Min,1.46,1.11,1.05,1.05,1.07
Mean,1.6,1.37,1.18,1.2,1.22
Std. Dev.,0.09,0.15,0.14,0.12,0.12
Max,1.87,1.74,1.52,1.52,1.52
