NAME,DEV,MQ,MDL,CRG-25,CRG-50,CRG-75
AEP,213,282,275,3995,4171,2749
ELC,53,49,51,704,447,279
ELG,139,153,156,580,477,461
ELN,115,150,148,698,552,293
JCC,840,584,670,5505,6228,3027
JGE,421,736,741,4250,4132,2038
JGH,118,103,96,544,374,233
JGL,64,73,80,275,208,209
JGP,215,238,238,2053,2022,1143
JJE,200,273,253,3329,2376,1496
JML,29,108,156,439,440,306
JMO,76,59,58,108,100,83
JPE,255,271,295,2558,2792,1667
JPL,186,229,216,1608,1648,960
LJA,332,444,412,5173,5125,2544
LJI,20,34,34,103,116,93
LJJ,18,21,23,71,58,44
LJL,433,375,385,2846,2056,1716
LUC,508,391,441,6383,5045,3054
LUH,414,301,324,4141,3888,2718
LUN,92,96,110,315,279,186
,18,21,23,71,58,44
,226,237,246,2175,2025,1205
,205,189,198,2051,1995,1104
,840,736,741,6383,6228,3054
