NAME,MQ,MDL,CRG-25,CRG-50,CRG-75
AEP,1.32,1.29,18.76,19.58,12.91
ELC,0.92,0.96,13.28,8.43,5.26
ELG,1.1,1.12,4.17,3.43,3.32
ELN,1.3,1.29,6.07,4.8,2.55
JCC,0.7,0.8,6.55,7.41,3.6
JGE,1.75,1.76,10.1,9.81,4.84
JGH,0.87,0.81,4.61,3.17,1.97
JGL,1.14,1.25,4.3,3.25,3.27
JGP,1.11,1.11,9.55,9.4,5.32
JJE,1.36,1.26,16.64,11.88,7.48
JML,3.72,5.38,15.14,15.17,10.55
JMO,0.78,0.76,1.42,1.32,1.09
JPE,1.06,1.16,10.03,10.95,6.54
JPL,1.23,1.16,8.65,8.86,5.16
LJA,1.34,1.24,15.58,15.44,7.66
LJI,1.7,1.7,5.15,5.8,4.65
LJJ,1.17,1.28,3.94,3.22,2.44
LJL,0.87,0.89,6.57,4.75,3.96
LUC,0.77,0.87,12.56,9.93,6.01
LUH,0.73,0.78,10,9.39,6.57
LUN,1.04,1.2,3.42,3.03,2.02
