NAME,MQ,MDL,CRG-25,CRG-50,CRG-75
AEP,5.12,2.12,0.24,0.35,0.41
ELC,12.33,5.67,1.67,2.67,3.67
ELG,9,3.33,1.67,1.67,1.67
ELN,8.25,2.75,1,1.25,2.25
JCC,13.83,2.67,0.5,0.67,1.67
JGE,3.6,1.1,0.15,0.25,0.3
JGH,11,7,2.33,4,4
JGL,5.25,1.5,1,1,1.75
JGP,11.6,4.4,1,1.6,2
JJE,8.75,3.75,0.5,0.62,1.25
JML,2,0.85,0.38,0.31,0.46
JMO,6.5,2.5,2,2.5,2.5
JPE,7.67,3.11,0.56,0.56,1
JPL,10,4.33,1,1.33,1.67
LJA,13.57,5.57,0.71,0.71,1.29
LJI,7.5,5.5,2,2,2
LJJ,6.5,2.5,2.5,2.5,3
LJL,24,10.33,1.67,2.67,4
LUC,13.5,5.25,0.5,1.12,1.5
LUH,22.25,7.25,0.75,1.25,2
LUN,8.33,4.33,2,2.33,2.67
